Movie_Name,Date,Weekly_Gross,Percentage_Change,Avg,Gross_to_Date,Week_Number
Dawn of the Planet of the Apes,11-Jul,102952844.00,-,25952.00,102952844.00,1.00
Dawn of the Planet of the Apes,18-Jul,52735785.00,-0.49,13287.00,155688629.00,2.00
Dawn of the Planet of the Apes,25-Jul,24941044.00,-0.53,6800.00,180629673.00,3.00
Dawn of the Planet of the Apes,1-Aug,12803951.00,-0.49,3900.00,193433624.00,4.00
Dawn of the Planet of the Apes,8-Aug,6478736.00,-0.49,3500.00,199912360.00,5.00
Dawn of the Planet of the Apes,15-Aug,2948610.00,-0.55,2336.00,202860970.00,6.00
Dawn of the Planet of the Apes,22-Aug,1559021.00,-0.47,2490.00,204419991.00,7.00
Dawn of the Planet of the Apes,29-Aug,1286543.00,-0.18,2749.00,205706534.00,8.00
Dawn of the Planet of the Apes,5-Sep,728945.00,-0.43,1740.00,206435479.00,9.00
Dawn of the Planet of the Apes,12-Sep,561114.00,-0.23,1554.00,206996593.00,10.00
Dawn of the Planet of the Apes,19-Sep,370944.00,-0.34,1354.00,207367537.00,11.00
Dawn of the Planet of the Apes,26-Sep,322349.00,-0.13,1389.00,207689886.00,12.00
Dawn of the Planet of the Apes,3-Oct,253459.00,-0.21,1267.00,207943345.00,13.00
Dawn of the Planet of the Apes,10-Oct,224881.00,-0.11,1242.00,208168226.00,14.00
Dawn of the Planet of the Apes,17-Oct,135517.00,-0.40,910.00,208303743.00,15.00
Dawn of the Planet of the Apes,24-Oct,81078.00,-0.40,737.00,208384821.00,16.00
Dawn of the Planet of the Apes,31-Oct,59766.00,-0.26,672.00,208444587.00,17.00
Dawn of the Planet of the Apes,7-Nov,46254.00,-0.23,734.00,208490841.00,18.00
Dawn of the Planet of the Apes,14-Nov,31511.00,-0.32,584.00,208522352.00,19.00
Dawn of the Planet of the Apes,21-Nov,15035.00,-0.52,557.00,208537387.00,20.00
Dawn of the Planet of the Apes,28-Nov,8202.00,-0.45,547.00,208545589.00,21.00
Tropic Thunder,8-Aug,11032792.00,-,3324.00,11032792.00,0.00
Tropic Thunder,15-Aug,38534928.00,2.49,11610.00,49567720.00,1.00
Tropic Thunder,22-Aug,22766104.00,-0.41,6792.00,72333824.00,2.00
Tropic Thunder,29-Aug,16977095.00,-0.25,4888.00,89310919.00,3.00
Tropic Thunder,5-Sep,9479745.00,-0.44,2751.00,98790664.00,4.00
Tropic Thunder,12-Sep,5458817.00,-0.42,1865.00,104249481.00,5.00
Tropic Thunder,19-Sep,3334234.00,-0.39,1429.00,107583715.00,6.00
Tropic Thunder,26-Sep,1561854.00,-0.53,1154.00,109145569.00,7.00
Tropic Thunder,3-Oct,435428.00,-0.72,898.00,109580997.00,8.00
Tropic Thunder,10-Oct,205871.00,-0.53,823.00,109786868.00,9.00
Tropic Thunder,17-Oct,121376.00,-0.41,678.00,109908244.00,10.00
Tropic Thunder,24-Oct,240493.00,0.98,1055.00,110148737.00,11.00
Tropic Thunder,31-Oct,172083.00,-0.28,782.00,110320820.00,12.00
Tropic Thunder,7-Nov,140487.00,-0.18,851.00,110461307.00,13.00
The Conjuring 2,10-Jun,56175086.00,-,16804.00,56175086.00,1.00
The Conjuring 2,17-Jun,23026348.00,-0.59,6861.00,79201434.00,2.00
The Conjuring 2,24-Jun,12232104.00,-0.47,4033.00,91433538.00,3.00
The Conjuring 2,1-Jul,6194794.00,-0.49,3085.00,97628332.00,4.00
The Conjuring 2,8-Jul,2623329.00,-0.58,2494.00,100251661.00,5.00
The Conjuring 2,15-Jul,1306211.00,-0.50,2308.00,101557872.00,6.00
The Conjuring 2,22-Jul,389952.00,-0.70,1659.00,101947824.00,7.00
The Conjuring 2,29-Jul,268595.00,-0.31,1101.00,102216419.00,8.00
The Conjuring 2,5-Aug,145623.00,-0.46,877.00,102362042.00,9.00
The Conjuring 2,12-Aug,78288.00,-0.46,967.00,102440330.00,10.00
The Conjuring 2,19-Aug,29678.00,-0.62,707.00,102470008.00,11.00
Ant-Man,17-Jul,81310529.00,-,21087.00,81310529.00,1.00
Ant-Man,24-Jul,38218390.00,-0.53,9881.00,119528919.00,2.00
Ant-Man,31-Jul,20081627.00,-0.48,6045.00,139610546.00,3.00
Ant-Man,7-Aug,12439707.00,-0.38,4275.00,152050253.00,4.00
Ant-Man,14-Aug,8386117.00,-0.33,3637.00,160436370.00,5.00
Ant-Man,21-Aug,5696156.00,-0.32,2825.00,166132526.00,6.00
Ant-Man,28-Aug,4170174.00,-0.27,2468.00,170302700.00,7.00
Ant-Man,4-Sep,4224421.00,0.01,2766.00,174527121.00,8.00
Ant-Man,11-Sep,2123725.00,-0.50,1568.00,176650846.00,9.00
Ant-Man,18-Sep,1228410.00,-0.42,1257.00,177879256.00,10.00
Ant-Man,25-Sep,473822.00,-0.61,993.00,178353078.00,11.00
Ant-Man,2-Oct,184083.00,-0.61,944.00,178537161.00,12.00
Ant-Man,9-Oct,142790.00,-0.22,1027.00,178679951.00,13.00
Ant-Man,16-Oct,100183.00,-0.30,1012.00,178780134.00,14.00
Ant-Man,23-Oct,314810.00,2.14,1640.00,179094944.00,15.00
Ant-Man,30-Oct,245129.00,-0.22,1277.00,179340073.00,16.00
Ant-Man,6-Nov,264537.00,0.08,1462.00,179604610.00,17.00
Ant-Man,13-Nov,184918.00,-0.30,1149.00,179789528.00,18.00
Ant-Man,20-Nov,169500.00,-0.08,1161.00,179959028.00,19.00
Ant-Man,27-Nov,133393.00,-0.21,1018.00,180092421.00,20.00
Ant-Man,4-Dec,65456.00,-0.51,618.00,180157877.00,21.00
Ant-Man,11-Dec,44286.00,-0.32,624.00,180202163.00,22.00
Bridget Jones's Baby,16-Sep,11937675.00,-,4078.00,11937675.00,1.00
Bridget Jones's Baby,23-Sep,6714060.00,-0.44,3275.00,18651735.00,2.00
Bridget Jones's Baby,30-Sep,3308960.00,-0.51,1610.00,21960695.00,3.00
Bridget Jones's Baby,7-Oct,1289890.00,-0.61,1410.00,23250585.00,4.00
Bridget Jones's Baby,14-Oct,524555.00,-0.59,1345.00,23775140.00,5.00
Bridget Jones's Baby,21-Oct,225065.00,-0.57,1309.00,24000205.00,6.00
Bridget Jones's Baby,28-Oct,139600.00,-0.38,1058.00,24139805.00,7.00
Bridget Jones's Baby,4-Nov,60235.00,-0.57,1004.00,24200040.00,8.00
